Ingredient,Trade_name
Alprazolam,Xanax
Alprazolam,Niravam
Amitriptyline,Elavil
Amitriptyline/chlordiazepoxide,Limbitrol
Amitriptyline/chlordiazepoxide,Limbitrol DS
Amitriptyline/perphenazine,Duo-Vil
Amitriptyline/perphenazine,Triavil
Amitriptyline/perphenazine,Triptafen
Amoxapine,Asendin
Aripiprazole,Abilify
Aripiprazole with sensor,Abilify MyCite
Armodafinil,Nuvigil
Atomoxetine,Strattera
Brexpiprazole,Rexulti
Bupropion,Aplenzin
Bupropion,Forfivo XL
Bupropion,Wellbutrin
Bupropion,Zyban
Celexa,Citalopram
chlordiazepoxide,Librium
Clomipramine,Anafranil
Desipramine,Irene
Desipramine,Nebril
Desipramine,Norpramin
Desipramine,Pertofran
Desipramine,Pertofrane
Desipramine,Pertrofran
Desipramine,Petylyl
Desipramine,G-35020
Desipramine,EX-4355
Desipramine,Norpramin
Desipramine,Pertofrane
Desipramine,Norimipramine
Desipramine,JB-8181
Desipramine,NSC-114901
Desvenlafaxine,Pristiq
Desvenlafaxine,Desfax
Desvenlafaxine,Ellefore
Desvenlafaxine,WY-45233
Desvenlafaxine,Pristiq
Desvenlafaxine,Khedezla
Dexepin,Sinequan
Duloxetine,Cymbalta
Duloxetine,Irenka
Escitalopram,Lexapro
Esketamine,Spravato
Esketamine,Eskesia
Esketamine,Ketanest
Esketamine,Ketanest S
Esketamine,Ketanest-S
Esketamine,Keta-S
Esketamine,Spravato
Esketamine,Eskesia
Esketamine,Ketanest
Esketamine,Ketanest-S
Esketamine,Keta-S
Fluvoxamine,Luvox
Fluxetine,Prozac
Fluxetine,Sarafem
Fluxetine/olanzapine,Symbyax
Imipramine,Tofranil
Imipramine,Tofranil-PM
Imipramine,Tofranil
Isocarboxazid,Marplan
Isocarboxazid,Marplan
Ketamine,Ketamine
Ketamine,Ketalar
Ketamine,Ketaset
Ketamine,Ketajet
Ketamine,Ketavet
Ketamine,Vetamine
Ketamine,Vetaket
L-Methylfolate,Xaquil
L-Methylfolate,Denovo
L-Methylfolate,Deplin
L-Methylfolate,Elfolate
L-Methylfolate,Rexulti
L-methylfolate/Algae-S powder,Deplin
Lamotrigine,Lamictal
Lamotrigine,Lsubvenite
Levomilnacipran,Fetzima
Levomilnacipran,Fetzima
Lisdexamfetamine,Elvanse
Lisdexamfetamine,Vyvanse
Lithium,Eskalith
Lithium,Duralith
Lithium,Lithobid
Lithium,Priadel
Lithium,Camcolit
Lithium,Liskonum
Methylphenidate,Ritalin
Methylphenidate,Aptensio
Methylphenidate,Concerta
Methylphenidate,Methylin
Methylphenidate,Quillivant
Methylphenidate,QuilliChew
Methylphenidate,Metadate
Methylphenidate,Aptensio
Methylphenidate,Cotempla
Methylphenidate,Jornay
Methylphenidate,Adhansia
Mirtazapine,Remeron
Mirtazapine,Mirataz
Mirtazapine,Avanza
Mirtazapine,ORG-3770
Mirtazapine,6-Azamianserin
Mirtazapine,Mepirzapine
Mirtazapine,Remeron
Modafinil,Provigil
Nefazodone,Serzone
Niacin,Niaspan
Nortriptyline,Pamelor
Nortriptyline,Aventyl
Nortriptyline,Pamelor
Nortriptyline,Aventyl
Olanzapine,Zyprexa
Olanzapine,Zyprexa Zydis
Olanzapine,Zyprexa Relprevv
Paliperidone,Invega
Paroxetine,Pzxil
Paroxetine,Seroxat
Paroxetine,Loxamine
Phenelzine,Nardil
Protriptyline,vivactil
Quetiapine,seroquel
Risperidone,Risperdal
Selegiline,Eldepryl
Selegiline,Emsam
Selegiline,Selgin
Sertraline,Zoloft
Thyroid Desiccated,Armour Thyroid
Tramadol,Ultram
Tramadol,Ryzolt
Tramadol,ConZip
Tranylcypromine,Parnate
Tranylcypromine,Parnate
Trazodone,Desyrel
Trazodone,Oleptro
Trazodone,Trazodone D
Trimipramine,Surmontil
Venlafaxine,Effexor
Venlafaxine,Effexor XR
Venlafaxine,Vensir
Venlafaxine,Vencarm
Venlafaxine,Venlaix
Venlafaxine,Efexor
Venlafaxine,Venlablue
Vilazodone,Viibryd
